camp_title,camp_site,addr,latlong,location,style,tags,url
南投中寮_和興樂活遊學中心,"和興樂活遊學中心 (和興國小)",南投縣中寮鄉永樂路154-1號,"N23.909487,E120.813094",中區,親子同樂,"吹風機 雨棚 櫻花",http://hhps.com.tw/
南投中寮_洞九的山莊,洞九的山莊,南投縣中寮鄉清水村頂坑巷12號,"N23.955600,E120.822700",中區,觀賞美景,"螢火蟲 雲海 高海拔 景觀 大景 銀河 海景",https://www.facebook.com/Kuo009/
南投中寮_潺潺森活,潺潺森活,南投縣中寮鄉和興村仙洞巷21號,"N23.905408,E120.801159",中區,觀賞美景,"步道 低海拔 大景 山景",http://zen-life.byethost7.com/
南投中寮_言葉之庭露營區,言葉之庭露營區,南投縣中寮鄉和興村永樂路134-2號,"N23.900788,E120.805749",中區,親子同樂,"飲水機 吹風機 雨棚 溜滑梯",https://www.facebook.com/yehcamping/
南投中寮_賞星月慕露營區,賞星月慕露營區,南投縣中寮鄉復興村復興巷,"N23.895321,E120.784249",中區,親子同樂,"吹風機 雨棚 水池 沙坑 步道 昆蟲 蝦 桐花",http://sumstar.ego.tw/
南投中寮_雲峯景觀莊園,"雲峯景觀莊園 (雲峯農莊)",南投縣中寮鄉瀧林巷35-13號,"N23.939861,E120.825167",中區,觀賞美景,"吹風機 溜滑梯 水池 步道 雲海 高海拔 景觀 美景 大景 銀河",http://yunfeng2015.blogspot.tw/
南投中寮_雲淡風清營地,雲淡風清營地,南投縣中寮鄉內城村瀧淋巷81-8號,"N23.938556,E120.798528",中區,親子同樂,"吹風機 雨棚 溜滑梯 水池 沙坑 步道 美景",https://www.facebook.com/clear818/
南投仁愛_一家人露營區,"一家人 Family Campsite","南投縣仁愛鄉大同村信義巷30-6號 ([省14甲] 2.3K 處)","N24.027474,E121.143787",中區,觀賞美景,景觀,https://www.facebook.com/familycampsite/
南投仁愛_五六露營農場,五六露營農場,南投縣仁愛鄉大同村仁和路1-3號,"N24.015962,E121.120027",中區,親子同樂,"飲水機 吹風機 溜滑梯 水池 沙坑 玩具 補給 釣魚 溪流",http://56.ego.tw/
南投仁愛_伴天聊露營區,伴天聊露營區,"南投縣仁愛鄉新生村山林巷 (眉原部落)","N24.083440,E120.991010",中區,吃喝玩樂,"飲水機 溜滑梯 水池 沙坑 不高 釣魚 美景",https://www.facebook.com/BTL1116/
南投仁愛_卑里露營區,卑里露營區,"南投縣仁愛鄉春陽村虎門巷100號 (春陽部落)","N24.024426,E121.163829",中區,親子同樂,"雨棚 步道 昆蟲",https://www.facebook.com/beli0963422209
南投仁愛_合歡仙境民宿露營區,合歡仙境民宿露營區,南投縣仁愛鄉大同村介壽巷40號,"N24.058250,E121.145611",中區,親子同樂,"吹風機 雨棚 溜滑梯 小溪 街上 蝦 遊客 高海拔",https://www.facebook.com/lovecampingeveryday/
南投仁愛_四季雲中茶園營地,四季雲中茶園營地,"南投縣仁愛鄉法治村茶園巷8-1號 (武界部落)","N23.923167,E121.028500",中區,觀賞美景,"雲海 美景 銀河",https://www.facebook.com/SeasonsCloud/
南投仁愛_士官長露營區,士官長露營區,"南投縣仁愛鄉虎門巷68號 (春陽部落)","N24.023782,E121.169500",中區,吃喝玩樂,"蝦 美景",https://www.facebook.com/yong0809
南投仁愛_小太陽景觀木屋,"小太陽景觀木屋 (維也納露營區)",南投縣仁愛鄉大同村仁和路179號,"N24.060833,E121.173028",中區,觀賞美景,"櫻花 景觀",http://suncabane.nantou.com.tw/
南投仁愛_小瑞士花園露營區,"小瑞士花園露營區 (幼獅營地)",南投縣仁愛鄉定遠新村28號,"N24.044000,E121.156444",中區,親子同樂,吹風機,http://www.facebook.com/swiss.garden
南投仁愛_山鷹露營區,山鷹露營區,"南投縣仁愛鄉互助村明月巷95-1號 (清流部落)","N24.072831,E120.949737",中區,吃喝玩樂,"飲水機 吹風機 水池 小溪 沙坑 釣魚 蝦 美景",https://campground-555.business.site/
南投仁愛_川中島落羽松露營祕境,川中島落羽松露營祕境,"南投縣仁愛鄉互助村清風路27-1號 (清流部落)","N24.070247,E120.947726",中區,親子同樂,"飲水機 吹風機 水池 小溪 釣魚 蝦 美景",https://www.facebook.com/pjb3143v/
南投仁愛_廬山仙境溫泉會館,廬山仙境溫泉會館,"南投縣仁愛鄉精英村榮華巷40-1號 (莫那魯道故居)","N24.021412,E121.189843",中區,吃喝玩樂,"步道 老街 街上 釣魚 櫻花 高海拔",http://lshotel.emmm.tw/
南投仁愛_彼籟客休閒露營區,"彼籟客休閒露營區 (Beliked Campsite)",南投縣仁愛鄉互助村明月巷100號,"N24.095782,E120.955021",中區,觀賞美景,"遊客 楓葉 桐花",https://www.facebook.com/belikedcampsite
南投仁愛_愛和華林園,愛和華林園,南投縣仁愛鄉大同村14鄰榮光巷38-1號,"N24.047139,E121.158722",中區,觀賞美景,"步道 補給 遊客 楓葉 高海拔 景觀 美景",https://www.facebook.com/AiHeHuaLinYuan
南投仁愛_星空谷露營地,星空谷露營地,南投縣仁愛鄉中正村平等巷1號,"N23.889648,E120.989091",中區,親子同樂,"吹風機 雨棚 溜滑梯 水池 小溪 沙坑 螢火蟲 補給 溪流 美景",https://www.facebook.com/sparklinggood/
南投仁愛_春陽秘靚溫泉露營區,"春陽秘靚溫泉露營區 (樂密谷)","南投縣仁愛鄉春陽村 (春陽部落)","N24.026417,E121.172028",中區,觀賞美景,"雨棚 步道 螢火蟲 風景區 櫻花 美景 山景",https://campground-823.business.site/
南投仁愛_曲冰嫚遊露營區,曲冰嫚遊露營區,"南投縣仁愛鄉萬豐村清華巷148-1號 (曲冰部落)","N23.928270,E121.072078",中區,吃喝玩樂,"吹風機 遊客 楓葉",https://www.facebook.com/abis777/
南投仁愛_曲冰岱牧露營區,"曲冰岱牧露營區 (曲冰金龍露營區)","南投縣仁愛鄉萬豐村清華巷68號 (曲冰部落)","N23.933970,E121.075334",中區,親子同樂,"水池 玩具 遊客 櫻花 大景",https://www.facebook.com/goGDcamp/
南投仁愛_月夢田,"月夢田 (梅花鹿營區)","南投縣仁愛鄉新生村山林巷6-2號 (眉原部落)","N24.079159,E120.989056",中區,觀賞美景,"小溪 步道 遊客 櫻花 溪流 山景",http://0910566765.emmm.tw/
南投仁愛_樹不老露營區,樹不老露營區,"南投縣仁愛鄉新生村山林巷46-2號 (眉原部落)","N24.076309,E120.985187",中區,親子同樂,"飲水機 吹風機 雨棚 水池 步道 玩具 螢火蟲 老街 景觀 美景 大景",https://www.facebook.com/lmosay/
南投仁愛_武界台興茶園,"武界台興茶園 (台興製茶廠)","南投縣仁愛鄉法治村茶園巷13-2號 (武界部落)","N23.922528,E121.026250",中區,觀賞美景,"雨棚 螢火蟲 雲海 高海拔 景觀 大景 銀河 海景",https://www.facebook.com/TaiShingTea/
"南投仁愛_武界圓山 5 號露營區","武界圓山 5 號露營區","南投縣仁愛鄉法治村武安路716號對面 (武界部落)","N23.915319,E121.051071",中區,觀賞美景,"雨棚 小溪 步道 街上 雲海 溪流 高海拔 景觀 美景 銀河",https://www.facebook.com/yuanshanno.5/
南投仁愛_武界觀景茶園露營區,武界觀景茶園露營區,"南投縣仁愛鄉法治村茶園巷17-1號附近 (武界部落)","N23.9193295,E121.0254067",中區,觀賞美景,"雲海 景觀 美景 大景",https://www.facebook.com/cherlene0821/
南投仁愛_武界開心茶園,武界開心茶園,"南投縣仁愛鄉法治村茶園巷18號 (武界部落)","N23.912995,E121.024529",中區,觀賞美景,"雲海 高海拔 景觀 大景 銀河",https://www.facebook.com/teaplantation/
南投仁愛_武界雲海露營區,武界雲海露營區,"南投縣仁愛鄉法治村武安路3-2號 (武界部落)","N23.909700,E121.047357",中區,觀賞美景,"雨棚 遊客 雲海",http://clouds.mmweb.tw/
南投仁愛_武界雲頂露營天地,武界雲頂露營天地,"南投縣仁愛鄉法治村茶園巷17-1號 (武界部落)","N23.917498,E121.024745",中區,觀賞美景,"櫻花 雲海 美景 大景",https://www.facebook.com/gentingwujie/
南投仁愛_沙庫斯露營區,"沙庫斯露營區 (馨奇溫泉)",南投縣仁愛鄉精英村馬赫坡8號,"N24.016611,E121.189083",中區,親子同樂,吹風機,https://www.facebook.com/SakusLuYingQu/
南投仁愛_清境陽光露營,清境陽光露營,南投縣仁愛鄉大同村榮光巷50-5號,"N24.035764,E121.154315",中區,觀賞美景,"蝦 櫻花 景觀",http://0953990559.mmweb.tw/
